                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.69928,                0.43303,                0.85529,                0.89241,                0.83322,                 0.8759,                0.63017,                0.94313,                0.56385,                0.97224,             0.00083383,             0.00083383,             0.00083383
                    128,                0.71475,                0.43673,                0.85855,                0.84241,                0.85728,                  0.858,                0.61363,                0.96987,                0.59258,                0.98861,             0.00083163,             0.00083163,             0.00083163
                    129,                0.70621,                 0.4357,                0.86203,                 0.8794,                0.82574,                0.86562,                0.62758,                0.93671,                0.58448,                0.97095,             0.00082943,             0.00082943,             0.00082943
                    130,                 0.7067,                0.43025,                0.85564,                0.85619,                0.83721,                0.86745,                0.61891,                0.94728,                0.57793,                0.96787,             0.00082723,             0.00082723,             0.00082723
                    131,                  0.699,                 0.4294,                0.86028,                0.87842,                0.83419,                0.85856,                0.62963,                0.93254,                0.59341,                0.97089,             0.00082503,             0.00082503,             0.00082503
                    132,                0.69273,                0.43175,                 0.8586,                0.87491,                0.81984,                0.85853,                0.61851,                0.93985,                0.60601,                0.96477,             0.00082283,             0.00082283,             0.00082283
                    133,                0.70333,                0.43027,                0.85759,                0.88568,                0.80552,                0.85138,                 0.6245,                0.93844,                0.59618,                0.97366,             0.00082063,             0.00082063,             0.00082063
                    134,                0.69665,                0.42917,                 0.8594,                0.88536,                0.82825,                0.86242,                0.63035,                0.92769,                0.58153,                0.96897,             0.00081843,             0.00081843,             0.00081843
                    135,                0.67979,                0.42113,                 0.8569,                0.87547,                0.79011,                0.84415,                0.60985,                0.94367,                0.61028,                0.97887,             0.00081623,             0.00081623,             0.00081623
                    136,                0.71418,                0.43231,                0.86315,                 0.8721,                0.82304,                   0.86,                0.62586,                0.94098,                0.60024,                0.97595,             0.00081403,             0.00081403,             0.00081403
                    137,                0.68581,                0.42322,                0.85676,                0.81149,                0.84453,                 0.8664,                0.62813,                  0.941,                0.58872,                0.97775,             0.00081183,             0.00081183,             0.00081183
                    138,                0.70408,                0.43209,                0.86137,                0.82735,                0.83636,                0.86525,                0.61338,                0.94977,                0.63417,                0.96969,             0.00080963,             0.00080963,             0.00080963
                    139,                0.70921,                0.43286,                0.85686,                 0.9067,                0.81231,                0.86959,                0.62551,                 0.9243,                 0.5858,                0.96524,             0.00080743,             0.00080743,             0.00080743
                    140,                0.69506,                0.42214,                0.85571,                0.86427,                0.84815,                0.86311,                0.62295,                0.94231,                0.58627,                 0.9707,             0.00080523,             0.00080523,             0.00080523
                    141,                0.69892,                0.42391,                0.86114,                0.86812,                0.83236,                0.86145,                0.61842,                0.93252,                0.58058,                 0.9694,             0.00080303,             0.00080303,             0.00080303
                    142,                0.69377,                 0.4215,                 0.8553,                0.89285,                0.81298,                0.85293,                0.62233,                0.92694,                0.57121,                0.96042,             0.00080083,             0.00080083,             0.00080083
                    143,                0.68394,                0.42283,                 0.8528,                0.84384,                0.83636,                0.84698,                0.61258,                0.93006,                0.59329,                0.96929,             0.00079863,             0.00079863,             0.00079863
                    144,                 0.6966,                0.42218,                0.85474,                0.86707,                 0.7977,                0.85729,                0.61551,                0.93374,                0.58584,                0.96193,             0.00079643,             0.00079643,             0.00079643
                    145,                0.69039,                0.41867,                0.85286,                0.89819,                0.83816,                0.86992,                0.62845,                0.93075,                0.58984,                0.96587,             0.00079423,             0.00079423,             0.00079423
                    146,                0.67685,                0.41804,                0.85364,                0.89639,                0.82526,                0.85869,                0.61907,                0.92819,                0.60565,                0.97502,             0.00079203,             0.00079203,             0.00079203
                    147,                0.68902,                0.42772,                0.85697,                0.88472,                0.82286,                0.85612,                0.61341,                0.92644,                0.61241,                0.97446,             0.00078983,             0.00078983,             0.00078983
                    148,                0.68041,                0.42158,                 0.8531,                0.89157,                0.83118,                0.86149,                 0.6122,                0.92155,                0.58647,                0.95988,             0.00078763,             0.00078763,             0.00078763
                    149,                0.67192,                0.41289,                0.85166,                0.90584,                  0.834,                0.86064,                0.61776,                  0.931,                0.59011,                0.96981,             0.00078543,             0.00078543,             0.00078543
